"-"
"Kleine, Werner"
"Klein, Gotthard"
"Kleinheyer, Gerd"
"Klein, Ronald"
"Klein, Ronald P."
"Kleinschwärzer-Meister, Brigitta"
"Klein, Stephanie B."
"Klein, Stephanie"
"Kleinwächter, Marietherese"
"Klein, Winfried"
"Klepper, Irena"
"Kleruskongregation","1017296-8"
"Kley, Andreas"
"Kleyboldt, Sabine"
"Klidschian, Arsen"
"Klieber, Rupert"
"Klimt, Walter"
"Klingenberg, Georg"
"Klingen, Henning"
"Klinger, Elmar"
"Klinger, Newin"
"Klinkhammer, Gritt"
"Klinnert, Lars"
"Klose, Alfred"
"Klösges, Johannes"
"Klostermann, Götz"
"Klueting, Harm"
"Klughardt, Werner"
"Klumpp, Steffen"
"Klun, Branko"
"Kluth, Winfried"
"Klutschewski, Alexej"
"Klutschewsky, Alexej"
"Kluxen, Wolfgang"
"KMBA-Bonn"
"Kmiec, Douglas"
"KNA Katholische Nachrichtenagentur GmbH Bonn","2015513-X"
"KNA - Katholische Nachrichten-Agentur GmbH Bonn","2015513-X"
"KNA Katholische Nachrichtenagenutr GmbH Bonn","2015513-X"
"Knapp, Markus"
"Knauer, Peter"
"Kneal, Ellsworth"
"Kneitel, Rolf"
"Knellwolf, Ulrich"
"Knepper, Daniela"
"Kneucker, Raoul"
"Knibbs, Eric"
"Knieps-Port le Roi, Thomas"
"Knittel, Reinhard"
"Knobloch, Stefan"
"Knoch, Wendelin"
"Knöpfle, Franz"
"Knop, Julia"
"Knöppek, Volker"
"Knöppel, Volker"
"Knoth, Hans D."
"Knowles, Graeme"
"Knütel, Rolf"
"Knut, Walf"
"Knuutila, Jyrki"
"Kobayashi, Hiroaki"
"Kobenan, Nestor Tan A."
"Köbler, Gerhard"
"Kobler, Michael"
"Kobusch, Irmentraud"
"Kochanek, Hermann"
"Koch, Bernhard"
"Kocher, Gernot"
"Köcher, Simon"
"Koch, Kurt"
"Koch, Peter"
"Kochupurackal, Mathew"
"Kochuvilayil, George T."
"Koch, Walter"
"Köck, Heribert F."
"Köck, Heribert Franz"
"Koenig, Josef"
"Koenig, Matthias"
"Koenig, Ulrich"
"Koffeman, Leo"
"Koffeman, Leo J."
"Köhler, Birga"
"Köhler, Joachim"
"Kohler-Spiegel, Helga"
"Kohler, Thomas C."
"Köhl, Georg"
"Kohlgraf, Peter"
"Kohlhöfer, Alexandra"
"Kohlhofer, Reinhard"
"Kohlschein, Franz"
"Kohn, Kuno"
"Kokaravalayil, Sunny"
"Kokkaravakayil, Sunny"
"Kokkaravalayil, Sunny"
"Kokkaravalayil, Sunny T."
"Kolar, Bogdan"
"Kolfhaus, Florian"
"Kollaparambil, Jacob"
"Koller, Edeltraud"
"Koller, Paul"
"Koller, Sascha"
"Kollig, Manfred"
"Kollmann, Uwe K."
"Kolmer, Lothar"
"Kölner Netzwerk"
"Kolondra, Grazyna"
"Koluthara, Varghese"
"Kolvenbach, Peter-Hans"
"Kölzer, Theo"
"Koman, Angelika"
"Kommission für die Erneuerung des Ostkirchenrechts"
"Komonchak, Joseph A."
"Komora, Edward J."
"Koncsic, Imre"
"Koncsik, Imre"
"Kondratuk, Laurent","1128600943"
"Könemann, Judith"
"Konersmann, Paula"
"Konferenz Europäischer Kirchen"
"Kongregation für den Gottesdienst und die Sakramentenordnung","1221009-2"
"Kongregation für den Klerus","1017296-8"
"Kongregation für die Bischöfe","7558621-6"
"Kongregation für die Evangelisierung der Völker","1004630-6"
"Kongregation für die Glaubenslehre","1024086-X"
"Kongregation für die Institute geweihten Lebens und für die Gesellschaften apostolischen Lebens","2116089-2"
"Kongregation für Glaubenslehre","1024086-X"
"Kongregation für Gottesdienst und Sakramentenordnung","1221009-2"
"Kongregation für Institute des geweihten Lebens und der Gesellschaften Apostolischen Lebens","2116089-2"
"Kongregation für  Institute des geweihten Lebens und Gesellschaften Apostolischen Lebens","2116089-2"
"Kongregation zur Evangelisierung der Völker","1004630-6"
"Konidaris, Ioannis M."
"König, Franz"
"König, Godehard"
"König, Klaus"
"Königreich Spanien"
"König, Sebastian"
"Königsmann, Josef"
"König von Preußen"
"König, Walter"
"Konjecic, Erwin"
"Konrad, Dietmar"
"Konrad, Karlheinz"
"Konrath, Christoph"
"Konry, Joseph J."
"Konsistorium des Erzbistums Berlin"
"Konvente der Bischöfe der bayerischen Kirchenprovinzen"
"Kool, Renée S. B."
"Koonamparampil C.M.F., Joseph"
"Koonamparampil, Jose"
"Koons, Robert C."
"Köpernik, Kristin"
"Köppen, Hans-Bernd"
"Kopp, Ferdinand"
"Kopp, Matthias"
"Kopp, Stefan"
"Kopp, Thomas"
"Koptisch-Orthodoxe Kirche in Österreich","10192318-1"
"Korden, Ralf"
"Kordes, Matthias"
"Korie, Ikechi"
"Korioth, Stefan"
"Körner, Bernhard"
"Körner, Felix"
"Korpiola, Mia"
"Korsch, Dietrich"
"Korta, Stefan"
"Körtner, Ulrich H."
"Körtner, Ulrich H. J."
"Kosch, Daniel"
"Koschel, Ansgar"
"Košir, Borut"
"Kosman, Admiel"
"Kosnik, Anthony R."
"Kosowicz, Stanislaw"
"Kostelecky, Alfred"
"Köster, Norbert"
"Kostjuk, Konstantin"
"Kosto, Adam J."
"Kotb, Alexander"
"Kothgasser, Alois"
"Kotiranta, Matti"
"Kottje, Raymund"
"Kottmann, Klaus"
"Kottranta, Matti"
"Kotzula, Stephan"
"Koury, Joseph J."
"Kouveglo, Émile"
"Kovac, Mirjam"
"Kovács, Christian"
"Kova?evi?, Emir"
"Kova?, Mirjam"
"Kovoorputhenpurayil, Johnson"
"Kowalik, Adam"
"Kowal, Janusz"
"Kowalski, Wojciech"
"Kowal, Wojciech"
"Kowatsch, Andreas"
"Kozlowski, John C."
"Kozul, Smiljan-Dragan"
"Kozur, Waltraud"
"Kraemer, Peter"
"Krafl, Pavel"
"Krajczynski, Jan"
"Krajczy?ski, Jan"
"Krajewski, Piotr"
"Krall, Johannes"
"Kram, Benjamin"
"Krämer, Achim"
"Kramer, Hannes"
"Kramer, Hans"
"Krämer, Peter"
"Krämer, Rolf"
"Krampe, Christoph"
"Kranemann, Benedikt"
"Kranjc, Janez"
"Krasic, Stjepan"
"Kratsch, Dietrich"
"Krätzl, Helmut"
"Kraus, Christof"
"Kraus, Dieter"
"Krause, Peter"
"Kraus, Georg"
"Kraus, Melanie-Katharina"
"Krauße, Eileen"
"Krauter, Stefan"
"Kravos, Peter"
"Krawchuk, Andrii"
"Krebber, Werner"
"Krech, Volkhard"
"Kreemers, H. P. M."
"Kreidler, Johannes"
"Kreiml, Josef"
"Kremer, Bernd M."
"Kremer, Eva-Maria"
"Kremer, Jacob"
"Kremser, Holger"
"Kremsmair, Josef","109067223"
"Krengel, Lisa J."
"Kreß, Hartmut"
"Kress, Robert"
"Kretschmann, Winfried"
"Kretschmar, Georg"
"Kretschmer, Dorothea"
"Kretschmer, Gerald"
"Kretz, Dietmar"
"Kretzschmar, Robert"
"Kreusch, Irina"
"Kreusch, Irina M."
"Kreuzer, Karl"
"Kriegbaum, Christian"
"Krieger, Klaus-Stefan"
"Kriele, Martin"
"Krienke, Markus"
"Kriewitz, Jörg"
"Krikorian, Mesrob K."
"Krimphove, Dieter"
"Krings, Günter"
"Krings, Wilfried"
"Krisman, Ronald F."
"Kröber, Christian"
"Kröber, Hans-Ludwig"
"Kroczek, Piotr"
"Kröger, Elisa"
"Krogner-Kornalik, Tobias"
"Krok, Dariusz"
"Krokosh, Mykola"
"Krollmann, Helge Martin"
"Kroll, Stefan"
"Krömer, Peter"
"Kronawitter, Martin"
"Kronbichler, Johann u. a."
"Kröning, Vera"
"Kropac, Ulrich"
"Kroppenberg, Inge"
"Krosnicki, Thomas A."
"Krotz, Stefan"
"Krüger, Hartmut"
"Krüger, Philip"
"Krüger, Sofia"
"Kruip, Gerhard"
"Krukowski, Józef","132323958"
"Krumpholz, Georg"
"Krumpholz, Gerhard"
"Krumpholz, Gregor"
"Krutzler, Martin"
"Krzywda, Josef"
"Krzywda, Józef"
"Krzywkowska, Justyna"
"Krzywkowski, Justyny (Red.)"
"Krzyzan, Andreas"
"Kuaebel, Simone"
"Kubala, Maciej Tomasz"
"Kube, Hanno"
"Küberl, Franz"
"Kubiak, Piotr"
"Kubis, Adam"
"Kuchenbuch, Ludolf"
"Kuchera, Michael"
"Kuchera, Michael J."
"Kückelmann, Barbara"
"Kues, Hermann"
"Kügler, Hermann"
"Kühle, Roswitha u.a."
"Kuhli, Milan"
"Kuhlkamp, Placidus"
"Kuhn, Alexander"
"Kuhn, Christian"
"Kühn, Christoph"
"Kühner, Paula-Marlene"
"Kuhn, Karl-Christoph"
"Kühn, Oskar"
"Kühn, Ulrich"
"Kulschewski, Tabea"
"Kultusminister Baden Württemberg"
"Kultusministerium Italien"
"Kultusministerium Niedersachsen"
"Kuminetz, Géza"
"Kümmerling, Ruthild"
"Kümper, Boas"
"Kundert, Hans-Jörg"
"Kundert, Werner"
"Küng, Hans"
"Küng, Klaus"
"Kunicka-Michalska, Barbara"
"Kunkel, Wolfgang"
"Kunst, Hermann"
"Kuntze, Johannes"
"Kuntzmann, Raymond"
"Kunze, Axel B."
"Künzel, Dirk"
"Künzel, Heike"
"Kunzler, Michael"
"Kunz, Ralph"
"Kuoanvih, Ahlonko Kouassi Augustin"
"Kuper, Bernd-Otto"
"Kupffer, Samuel"
"Kuppe, René"
"Küppers, Arnd"
"Kurchera, Michael J."
"Kurmann-Schwarz, Brigitte"
"Kursava, Wilhelm"
"Kursawa, Wilhelm"
"Kurtscheid, Gertraud"
"Kurtyka, Edward J."
"Kurumeh, Kenneth O."
"Kurze, Dietrich"
"Kuschel, Karl-Josef"
"Kustermann, Abraham P."
"Kusz, Gerard"
"Kuttner, Stephan"
"Kuznecoviene, Jolanta"
"Kwanga Ndjibu, Vincent"
"Kwasniewski, Peter A."
"Kyriazopoulos, Kyriakos"
"Ky-Zerbo, Alophonse B."
"Labandeira, Eduardo","  1056235055"
"Labbé, Yves"
"Labelle, Jean-Paul"
"Labrèche, Chantal"
"la Camera, Francesco"
"La Castro, Gaetano"
"Lachmann, Rainer"
"Lachner, Gabriele"
"Lackner, Karl"
"Lacorte Tierz, M. Pilar"
"Lacovara, Philip A."
"Lacroce, Luigi"
"Ladaria"
"Ladaria, Luis F."
"Ladaria, Luis"
"Ladner, Gertraud"
"La Farina, Cesare"
"Laffitte, Jean"
"LAG Baden-Württemberg","1046308033"
"LAG Berlin","  16210622-1"
"LAG Berlin-Brandenburg","  16210622-1"
"LAG Brandenburg"
"LAG Bremen"
"LAG Düsseldorf","1154403726"
"LAG Frankfurt a. M.","510969-3"
"Lagges, Patrick"
"Lagges, Patrick R."
"LAG Hamburg","2146667-1"
"LAG Hamm","1096766507"
"LAG Hessen","510969-3"
"Laghi, Pio"
"LAG Köln","10362810-1"
"LAG München","17959-0"
"LAG Niedersachsen","1048160009"
"LAG Nürnberg"
"Lagomarsino, Guido"
"Lagos, Julio A."
"LAG Rheinland-Pfalz","6010866-6"
"Lagrimas, Miguelito"
"La Grutta, Sabina"
"LAG Saarland","2165268-5"
"LAG Sachsen","1108555357"
"LAG Sachsen-Anhalt"
"LAG Schleswig-Holstein","5294887-0"
"LAG Thüringen"
"Laichner, Johannes"
"Laiou, Angeliki E."
"Lajolo, Giovanni"
"Lakatos, Bálint"
"Lakeland, Paul"
"Lakey, John F."
"Lalaguna, Paloma Durány"
"Lalanne, Luc M."
"Lalli, Renato"
"Lamberigts, Mathijs"
"Lames, Gundo"
"Lammert, Norbert"
"Landau, Lazare"
"Landau, Michael"
"Landau, Peter"
"Land Bayern"
"Land Berlin"
"Landbö, Camilla"
"Land Brandenburg"
"Landersdorfer, Anton"
"Landesregierung Baden-Württemberg","2038601-1"
"Landesregierung Bayern","5337213-X"
"Landesregierung Brandenburg","505927-6"
"Landesregierung Nordrhein-Westfalen","2029490-6"
"Landesregierung Rheinland-Pfalz","15759-4"
"Landesregierung Saarland","2027561-4"
"Landesregierung Sachsen-Anhalt","2047135-X"
"Landesregierung Schleswig-Holstein","2046100-8"
"Landesverband der Jüdischen Gemeinden von Niedersachsen","1042997-9"
"Landesverband der Jüdischen Gemeinden von Rheinland-Pfalz"
"Landete Casas, José"
"Landette, José"
"Landgericht Köln"
"Land Hessen","4024729-6"
"Land Mecklenburg-Vorpommern","4242861-0"
"Land Niedersachsen","4042226-4"
"Land Nordrhein-Westfaleen","4042570-8"
"Land Nordrhein-Westfalen","4042570-8"
"Landra, Mauricio"
"Landra, Mauricio A."
"Land Rheinland-Pfalz","4049795-1"
"Land Sachsen","4051176-5"
"Land Sachsen-Anhalt","4051181-9"
"Land Schleswig-Holstein","4052692-6"
"Landtag des Freistaats Sachsen","124827-3"
"Landtag NRW","2029522-4"
"Langan, Jeffrey"
"Lang, Anna"
"Lange, Christian"
"Lange, Dietz"
"Lange, Günter"
"Langeland, W."
"Langella, Simona"
"Langemeyer, Georg"
"Langenbacher, Ferdy"
"Langendörfer, Hans"
"Langevin, Ron"
"Langhammer, Elke"
"Langhans, Daniel"
"Langhorst, Peter"
"Lang, Joachim"
"Lang, Martin"
"Lang, Michael U."
"Lanne, Emmanuel"
"Lanzani, Vittorio"
"Lanza, Sergio"
"Lapi, Chiara"
"Lapinski, Józef"
"Lapointe, Eugène"
"Lappen Friedolf"
"Lappen, Friedolf"
"Lara Corredor, David E."
"Lara, Lélis"
"La Rana, Anna"
"La redazione di Quaderni di Diritto Ecclesiale"
"Larentzakis, Grigorios"
"Laricca, Sergio"
"Lariccia, Sergio"
"Lariccia, Sergio u. a."
"Larios Valencia, José Omar"
"Larn, Nigel"
"Larocca, Pasquale"
"La Rosa, Virgilio"
"Larrabe, José L."
"Larrainzar, Carlos"
"Larrea Holguín, Juan I."
"Larrey, Philip"
"Larricia, Sergio"
"Larson, Atria A."
"Lasanta, Pedro J."
"Lasch, Kenneth E."
"Laschuk, Alexander"
"Lashofer, Clemens"
"Laske, Daniel"
"Laskowski, Jerzy"
"Lassiwe, Benjamin"
"Lastra, Silvia"
"László, Stefan"
"La Terra, Paolo"
"Latré, Bart"
"Lätzel, Martin"
"Laube, Martin"
"Laudage, Christiane"
"Lauenroth, Hans-Eckhard"
"Laufs, Adolf"
"Laukemper, Beatrix"
"Laukemper-Isermann"
"Laukemper-Isermann, Beatrix"
"Lau, Ludwig"
"Laumer, August"
"Laun, Andreas"
"Laup, Adolf"
"Laurentius, Josephus"
"Laurien, Hanna-Renate"
"Lauterbacher-Maineri, Claudius"
"Lauter, Hermann-Josef"
"Laverone, Kenneth J."
"Lavette, M."
"Lavin, Martin E."
"Law, A."
"Law, Bernard"
"Lawrence, William B."
"Laycook, Douglas"
"Leal Adorna, María del Mar"
"Leb, Ioan-Vasile"
"Lebok, Darius G."
"Lebrun, Rémy"
"Lecaros, Cristián S."
"Le Castro, Gaetano"
"Lecheler, Helmut"
"Leclair, Douglas M."
"Lecuivre, Joel u. a."
"Lederer, Josef"
"Leder, Gottfried"
"Lederhilger, Severin"
"Lederhilger, Severin J."
"Ledir, Gottfried"
"Lee, John B."
"Leenen, Maria Anna"
"Lefebvre, Charles"
"Lefebvre, Marcel"
"Lefebvre-Teillard, Anne"
"Lefebvre-Teillard, Anne M."
"Lefkánits, György"
"Le Gal, Patrick"
"Legarth, Peter V."
"Legaspi, Felix"
"Legaspi, Leonardo"
"Legeais, Raymond"
"Legrain, Michel"
"Legrand, Hervé"
"Legrys, James"
"Legutke, Daniel"
"Lehmann, David"
"Lehmann, Karl"
"Lehmann, Philipp"
"Lehmann, Roland M."
"Lehne, Christine"
"Lehner-Hartmann, Andrea"
"Leibfried, Stephan"
"Leibinger, Paul"
"Leicht, Robert"
"Leidi, Leonello"
"Leidinger, Miriam"
"Leigh, Ian"
"Leijssen Lambert"
"Leijten, J. C. M."
"Leimgruber, Stefan"
"Leimgruber, Stephan"
"Leimgruber, Ute"
"Leimkühler, Claudia"
"Leinemann, Felix"
"Leisching, Peter"
"Leisner, Walter"
"Leistl, Joseph"
"Leite Soares, Alfredo"
"Leitner, Anita"
"Lejeune, Michel"
"Lelièvre, Vincenzo"
"Lemaître, Nicole"
"Lemhöfer, Lutz"
"Lemmens, P."
"Lemmens, Paul"
"Lemmen, Thomas"
"Lemmermeier, Stefan"
"Lempa, Florian"
"Lengenfelder, Bruno"
"Lenherr, Titus"
"Lennert, Christoph"
"Lentz, Hubert"
"Lenzenweger, Josef"
"Lenz, Gisela"
"Lenz, Susanne"
"Leonardi, Giorgio"
"León Benítez, María R."
"León Benítez, María, Reyes"
"León Cristobal, Vicente"
"Leonhard, Clemens"
"Leonhard, Harry H."
"Leppin, Volker"
"Lepsius, Oliver"
"Lepsius, Susanne"
"Lerche, Peter"
"Lerch, Kent"
"Lerg, Christoph"
"Lerner, Natan"
"LeRouzès, Dominic"
"Leroy, Hugues"
"Le Roy, Yves"
"Lesage, Germain"
"Lesch, Karl J."
"Lesch, Walter"
"Leskovar, Valerie"
"Lesser, R. H."
"Lessi, Mario"
"Leszczynksi, Grzegorz"
"Leszczynski, Grzegorz"
"Leszczy?ski, Grzegorz"
"Letaïf, Raphäel"
"Le Tourneau, D."
"Le Tourneau, Dominique"
"Letowska, Ewa"
"Lettmann, Reinhard"
"Leuenberger, Robert"
"Leugers, Antonia"
"Leusenweger, J."
"Leustean, Lucian N."
"Leuzzi, Angela"
"Levada, Wiliam"
"Levada, William"
"Levada, William J."
"Le Vallois, Philippe"
"Le Van, Mang"
"Le Van, Theresa"
"Levant, Marie"
"Leven, Benjamin"
"Levene, Julieta"
"Levering, Mattew"
"Levillain, Philippe"
"Levinger, Israel M."
"Levinger, Israel Meir"
"Levi, R."
"Levresse, René P."
"Lewandowski, Piotr"
"Lewisch, Peter"
"Lewis, Scott M."
"Leys, Ad"
"Leziroli, Giuseppe"
"LG Aachen","5153789-8"
"LG Ansbach","1066895864"
"LG Arnsberg","2064043-2"
"LG Aschaffenburg","16339413-1"
"LG Baden-Baden","3018421-6"
"LG Bautzen"
"LG Berlin","108748507X"
"LG Bielefeld","4330593-3"
"LG Bochum","10062421-2"
"LG Bonn","2087979-9"
"LG Bremen","2107738-1"
"LG Coburg","1241476-1"
"LG Darmstadt","2066043-1"
"LG Dortmund","10348174-6"
"LG Duisburg","4556308-1"
"LG Düsseldorf","5034852-8"
"LG Essen","16259242-5"
"LG Frankenthal"
"LG Frankfurt a. M","6038599-6"
"LG Frankfurt a. M.","6038599-6"
"LG Freiburg","4434584-7"
"LG Gießen"
"LG Göttigen","1042244634"
"LG Hamburg","  3014422-X"
"LG Heidelberg","5504882-1"
"LG Itzehoe","7860189-7"
"LG Kleve","7683388-4"
"LG Koblenz","2029765-8"
"LG Köln","4034295-5"
"LG Leipzig","4463365-8"
"LG Mainz"
"LG Mannheim","2141981-4"
"LG Memmingen","4361015-8"
"LG Mühlhausen","7602419-2"
"LG München"
"LG München I","  44132-6"
"LG Münster","5106231-8"
"LG Nürnberg-Fürth","16343604-6"
"LG Offenburg"
"LG Oldenburg"
"LG Osnabrück","1013560-1"
"LG Paderborn","4334507-4"
"LG Rottweil"
"LG Saarbrücken","4009479-0"
"LG Schwerin"
"LG Stuttgart","2003294-8"
"LG Trier","1048087743"
"LG Tübingen","1155443438"
"LG Wuppertal","16298254-9"
"LG Zweibrücken"
"LG Zwickau"
"L'Huillier, Paul-Eugene"
"L’Huillier, Peter"
"Lia, Antonio"
"Libânio, Joao Batista"
"Licastro, Angelo"
"Lichtleitner-Meier, Thomas"
"Lickleder, Helmut"
"Liebchen, Stefan"
"Liebchen, Stephan"
"Liebig, Justus"
"Liebl, Andreas"
"Liebmann, Maximilian"
"Liedhegener, Antonius"
"Liedke, Ulf"
"Lienau, Anna-Katharina"
"Lienbacher, Georg"
"Lienemann, Wolfgang"
"Liesenfeld, Beatrix"
"Lies, Lothar"
"Liesner, Jörg"
"Liessi, Daniele"
"Ligier, Louis"
"Ligot Cantoria, Andrés"
"Lillo, Pasquale","  1127893890"
"Lill, Rudolf"
"Liluala, Abel Fernando Estêvão"
"Limardo, Tommaso"
"Limbach, Dominik"
"Limbeck, Meinrad"
"Lim, Florian-Maria"
"Limouris, Gennadios"
"Linage Conde, Antonio"
"Liñán García, Ángeles"
"Lindner, Berend"
"Lindner, Thomas"
"Linehan, Peter"
"Ling, Michael A."
"Link, Christian"
"Link, Christoph"
"Link-Wieczorek, Ulrike"
"Linnan, John E."
"Linneborn, Johannes"
"Linnenbrink, Günter"
"Linzbach, Moritz"
"Liotta, Filippo"
"Lipari, Nicolò"
"Lipka, Wojciech"
"Lipscomb, Oscar"
"Lipska, Marzena"
"Lipski, Jan"
"Lisi, Eugenio M."
"Lis, Maciej"
"Liss, Bernhard"
"Lissner, Anneliese"
"Listl, Joseph"
"Listl, Josph"
"Litchford, Rod"
"Litewski, Wieslaw"
"Livi, Antonio"
"?liwa, Jan"
"?liwka, Diana"
"Lix-Klett, José M."
"Lizrraga Artola, Alejandro"
"Lizzio, Vito"
"Llano Cifuentes, Rafael"
"Llaquet de Entrambasaguas, José L."
"Llaquet de Entrambasaguas, José Luis"
"Llobel, Joaquín"
"Llobell, Joaqín"
"Llobell, Joaquín"
"Lloréns, Inés"
"Lo Baido, Rosa"
"Lobato, Abelardo"
"Lobell, Joaquín"
"Lob-Hüdepohl, Andreas"
"Lobiati, Paolo"
"Lobiati, Paolo G."
"Lobina, Giuseppe"
"Lobina, Guiseppe"
"Lobinger, Fritz"
"Lobkowicz, Frantisek"
"Lobkowicz, Nikolaus"
"Lobo, A. A."
"Lobo, Pedro I."
"Lobo, Peter"
"Lo Castro, Gaetano"
"Lo Castro, Gaetono"
"Locher, Gottfried W."
"Locorotondo, Luisa"
"Loda, Natale"
"Loffeld, Jan"
"Löffler, René"
"Löffler, Winfried"
"Lo Franco, Pietro"
"Loftus, Philip"
"Loggen, Helmut"
"Lo Giacco, Maria L."
"Lohmeyer, Jürgen"
"Löhnig, Martin"
"Löhning Martin"
"Löhning, Martin"
"Löhning Martin, Preisner Mareike"
"Löhr, Christian"
"Lohse, Eduard"
"Lohse, Edward"
"Lo Iacono, Pietro"
"Loichinger, Alexander"
"Loiero, Salvatore"
"Lojacono, Pietro"
"Lokongo, Antoine"
"Loman, Gerard"
"Lombardía, Pedro"
"Lombardi, Frederico"
"Lombardi Vallauri, Luigi"
"Lombardo, Eugenia S."
"Lomb, Michael"
"Lomb, Michaela"
"Long, Gianni"
"Longhitano, Adolfo"
"Lonning, Inge"
"Lopes, Steven J."
"López Alarcón, Mariano"
"López, Ángel"
"Lopez Aranda, Manuel"
"López de Guerñu, Roberto Serres"
"López, Elías"
"López Estévez, Jonathan"
"Lopez-Gallo, Pedro","1147162980"
"López Hernández, C."
"López-Illana, Francisco"
"López-Illana, Franciscus"
"López-Jurado Escribano, José L."
"Lopez Llana"
"López Llorente, Casimiro"
"López López, Rubén"
"López Lozano, Miguel Ángel"
"Lopez Martinez, M."
"Lopez Medina, Aurora M."
"Lopez, Melanie"
"López Segovia, Carlos"
"López Sidro"
"López-Sidro, Ángel"
"López-Sidro L., Ángel"
"López-Sidro López, Ángel"
"Lopez Truillo, Alfonso"
"López Trujillo, Alfonso"
"López Zarzuelo, Félix"
"López Zubillaga, José L."
"López Zubillaga, José Luis"
"Lo Prete, Octavio","139832750"
"Lorenz, Dieter","141338474"
"Lorenz-Filograno, Maria Pia"
"Lorenzkowski, Stefan"
"Lorenzo, Lorusso"
"Lorenzo, Paloma"
"Lorenzo Santos, Daniel C."
"Lorenz, Ottokar"
"Lorenzo Vian, María de los Remedios"
"Lorenz, Stefan"
"Loretan, Adrian"
"Loretan-Saladin, Adrian"
"Lorizio, Giuseppe"
"Lörler, Sighart"
"Lorusso, Lorenzo"
"Lorusso, Luca"
"Losada, Joaquin"
"Losanno, Antonella"
"Losch, Bernhard"
"Loschelder, Wolfgang"
"Losem, Uta"
"Löser, Werner"
"Lössl, Josef"
"Lotter, Friedrich"
"Lourdusamy, Sahayaraj"
"Lourdusamy, Simon D."
"Louven, Klaus"
"Lowery, Mark"
"Löw, Giuseppe"
"Löw, Peter"
"Loza Martinez, Fernando"
"Lozano, J. U."
"Lozupone, Francesco"
"LSG Baden-Württemberg","3018421-6"
"LSG Bayern","2056843-5"
"LSG Hamburg","2139033-2"
"LSG Hessen","2139033-2"
"LSG Niedersachsen","4828813-5"
"LSG Nordrhein-Westfalen","4828815-9"
"LSG Rheinland-Pfalz","5545980-8"
"LSG Saarland","16058772-4"
"LSG Sachsen"
"LSG Schleswig-Holstein","5223320-0"
"Lübbe, Hermann"
"Lucas, John P."
"Lucchetti Bingemer, Maria C."
"Luchterhand, Otto"
"Luchterhandt, Otto"
"Lüddecke, Dirk"
"Lüdecke, Klaus"
"Lüdecke, Norbert"
"Lüder, Sascha R."
"Lüders, Ulrich"
"Lüdicke, Klaus"
"Ludwig, Gerhard"
"Ludwig"
"Ludwig Schick (EB- Bamberg)"
"Ludwig Schick (EB-Bamberg)"
"Ludwikowski, Hubert"
"Ludyga, Hannes"
"Luf, Gerhard"
"Lugano, Piergaetano"
"Lugonzo Makaka, Ferdinand"
"Lührs, Hermann"
"Luigi, Liberti"
"Luig, Klaus"
"Luis F."
"Luisi, Maia"
"Luis Santos, José"
"Luján, Juan L. A."
"Lukács, László"
"Lukács, Róbert"
"Lukas, Veronika"
"Lülsdorff, Raimund"
"Lumma, Liborius"
"Lumma, Liborius O."
"Lummis, Adair T."
"Lund, Øystein"
"Lüning, Peter"
"Luniw, Paul"
"Lunze, Stefan"
"Luparev, Gennadi"
"Lusena, Michael J."
"Lüssi, Walter"
"Lütcke, Karl-Heinrich"
"Luterbacher-Maineri, Claudius H."
"Luterbacher-Maineri, Claudius"
"Luterbach-Maineri, Claudius"
"Luther, Jörg"
"Lutterbach, Hubertus"
"Lüttgens, Philipp"
"Lutz, Bernd"
"Lutz, Christian"
"Lutz, Friedrich"
"Lutz, Hermann"
"Lutz-Léchot, Samuel"
"Lütz, Manfred"
"Lutz, Samuel"
"Luysterman, Arthur"
"Luzzago, Alessandra"
"Lyall, Francis"
"Lyimo, Prosper"
"Lynch, John E."
"Lynda"
"Lyndon Reynolds, Philip"
"Lyons, Mary"
"Lyons, Richard"
"Maasburg, Leo"
"Maas-Ewerd, Theodor"
"Maaßen, Hans-Georg"
"MacAoidh, Tomas"
"Macario, Lorenzo"
"Macatangay, Roy"
"MacDonald, Francis"
"MacDonald, Helen U. L."
"MacDonald, Stuart"
"Maceratini, Ruggero"
"Machado Jiménez, José A."
"Machado J., José A."
"Machado, Jonatas E. M."
"Machilek, Franz"
"Macioce, Fabio"
"Mackim, Theodore"
"Maclean, Majory"
"MacPherson, Ishbel"
"Macrì, Gianfranco"
"Macy, Gary"
"Maczynski, Andrzej"
"Madeley, John T.S."
"Madera, Adelaide"
"Mader, Josef"
"Madero López, Luis"
"Mader, Walter"
"Madey, Johannes"
"Madonna, Michele"
"Madrigal Alós, Ferrán"
"Maeda, Tatsuya"
"Maffei, Domenico"
"Maffei, Paola"
"Maffeis, Daniele"
"Magaña Romera, José"
"Magbanua, Antonio B."
"Magee, Peter G."
"Magen, Stefan"
"Maggioni, Corrado"
"Maghioros, Nikolaos"
"Magnou-Nortier, Élisabeth"
"Maguire, Daniel C."
"Maguire, Niamh"
"Maher, Francis"
"Mahlmann, Matthias"
"Mahmood, Tahir"
"Mahmud, Gamal-ad-din"
"Mahoney, John"
"Mahrenholz, Ernst G."
"Maida, Adam J."
"Maier, Clemens"
"Maier, Eva M.","136667635"
"Maier, Hans"
"Maier, Martin"
"Maihold, Harald"
"Mailänder, Richard"
"Mai, Laura"
"Mailleux, Romain-Georges"
"Mainardi, Rubén D. R."
"Mainusch, Rainer","113827598"
"Mainzer, Udo"
