"Bischof von Speyer","Katholische Kirche. Diözese Speyer. Bischof (1968-1982: Wetter)","1194698018","1968-1982"
"Bischof von Speyer","Katholische Kirche. Diözese Speyer. Bischof (1983-2007: Schlembach)","1194698212","1983-2007"
"Bischof von Speyer","Katholische Kirche. Diözese Speyer. Bischof (2008-: Wiesemann)","1194698476","2008-"
"Bischof von Trier","Katholische Kirche. Diözese Trier. Bischof (1967-1980: Stein)","1194698824","1967-1980"
"Bischof von Trier","Katholische Kirche. Diözese Trier. Bischof (1981-2001: Spital)","1194699014","1981-2001"
"Bischof von Trier","Katholische Kirche. Diözese Trier. Bischof (2002-2008: Marx)","1194699278","2002-2008"
"Bischof von Trier","Katholische Kirche. Diözese Trier. Bischof (2009-: Ackermann)","119469943X","2009-"
"Bischof von Würzburg","Katholische Kirche. Diözese Würzburg. Bischof (1979-2003: Scheele)","1194699790","1979-2003"
"Bischof von Würzburg","Katholische Kirche. Diözese Würzburg. Bischof (2004-2017: Hofmann)","1194700047","2004-2017"
"Bischof von Würzburg","Katholische Kirche. Diözese Würzburg. Bischof (2018-: Jung)","1194700292","2018-"
