18763503X,Ecclesiastical Law Journal
165710497,KABl B,Amtsblatt des Bischöflichen Ordinariats Berlin
18245133X,KABl B,Amtsblatt des Erzbischöflichen Ordinariats Berlin
239086627,KABl B,Amtsblatt des Erzbistums Berlin
165653353,KABl DD,Kirchliches Amtsblatt der Ordinariate und Bischöflichen Ämter in der Deutschen Demokratischen Republik : Ausgabe des Bistums Dresden- Meißen
165667427,KABl DD,Kirchliches Amtsblatt für das Bistum Dresden-Meißen
182405141,KABl GR,Amtsblatt : Bistum Görlitz
130156981,KABl HI,Kirchlicher Anzeiger für das Bistum Hildesheim
182638464,KABl MD,Amtliche Mitteilungen des Bistums Magdeburg
381810887,KABl MD,Amtsblatt des Bistums Magdeburg
182638456,KABl MD,Amtliche Mitteilungen des Bischöflichen Amtes Magdeburg
130125172,KABl OS,Kirchliches Amtsblatt für die Diözese Osnabrück
167359347,KABl FD,Kirchliches Amtsblatt für die Diözese Fulda
167358928,KABl LM,Amtsblatt des Bistums Limburg
16654583X,KABl TR,Kirchliches Amtsblatt für das Bistum Trier
129457922,NJW,Neue Juristische Wochenschrift
130456101,NVwZ,Neue Zeitschrift für Verwaltungsrecht
130437506,NVwZ-RR,Neue Zeitschrift für Verwaltungsrecht – Rechtsprechungsreport
129310719,OR,L’osservatore romano
130656453,QD,Quaestiones disputatae
353607444,RG,Rechtsgeschichte : Zeitschrift des Max-Planck-Instituts für Europäische Rechtsgeschichte
737287519,ZAT,Zeitschrift für Arbeitsrecht und Tarifpolitik in Kirche und Caritas : ZAT
129457914,ZRP,Zeitschrift für Rechtspolitik : ZRP
561575282,SF,Studia Friburgensia. Nouvelle Série. Sectio canonica
129289817,SKRA,Staatskirchenrechtliche Abhandlungen
167361929,KABl M,Amtsblatt für das Erzbistum München und Freising
182190773,PrakTh,"Praktische Theologie : Zeitschrift für Praxis in Kirche, Gesellschaft und Kultur"
584012802,KNA.ADV.Ausland.EU,"Vatikan, Ausland, EU : Katholische Nachrichten-Agentur KNA"
130098248,Zentralkomitee der deutschen Katholiken. Berichte und Dokumente,Berichte und Dokumente / Zentralkomitee der Deutschen Katholiken
186441363,De Processibus Matrimonialibus,De processibus matrimonialibus : Fachzeitschrift zu Fragen des kanonischen Ehe- und Prozeßrecht
130120022,Gottesdienst,"Gottesdienst : Information u. Handreichung der liturgischen Institute Deutschlands, Österreichs"
16654289X,Imprimatur,Imprimatur : Nachrichten und kritische Meinungen aus der katholischen Kirche
196349206,Intams Review,Intams review : review of the International Academy for Marital Spirituality
129392219,Kanon,Kanon : Jahrbuch d. Gesellschaft für das Recht der Ostkirchen
166759651,Ordensnachrichten,Ordensnachrichten : ON
166429813,Publik-Forum,"Publik-Forum : kritisch, christlich, unabhängig"
166771856,Der christliche Osten,Der Christliche Osten
129301906,"Die neue Ordnung. Zeitschrift für Religion, Kultur, Geschichte, Gesellschaft",Die neue Ordnung
170178811,Quaderni di diritto ecclesiale,Quaderni di diritto ecclesiale
225851830,Schweizerisches Jahrbuch für Kirchenrecht,Schweizerisches Jahrbuch für Kirchenrecht
168471531,Apollinaris,Apollinaris / Quaderni di Apollinaris
182600068,European Journal of Church and State,European journal for church and state research
496972359,Fidelium Iura ,Fidelium iura : anuario de derechos y deberes fundamentales del fiel
308449568,Folia Canonica,Folia canonica
170286282,Ius Ecclesiae,Ius ecclesiae
170461661,Bulletin ET. Zeitschrift für Theologie in Europa,European Society for Catholic Theology: Bulletin
166933430,Canon Law Society of America Proceedings,Canon Law Society of America  Proceedings
791557413,Folia theologica et canonica,Folia theologica et canonica
166200964,Christ in der Gegenwart,Christ in der Gegenwart
531531619,Kanonika,Kanonika
187613435,Anuario Argentino de Derecho Canónico,Anuario argentino de derecho canonico
847490130,Daimon. Annurario di diritto comparato delle religioni,"Numero speciale, Daimon : diritto comparato delle religioni"
237178591,Ius matrimoniale. ze studiów nad ko´scielnym prawem mal·ze´nskim,Ius matrimoniale : ze studiów nad ko´scielnym prawem mal·ze´nskim
1549273264,Adnotationes in Ius Canonicum,Adnotationes in Ius Canonicum
573093571,Anuario de Derecho Canónico,Anuario de Derecho Canónico
